9383,886,88040689,784996,8313338,10269
2777,6915,7711729,47817225,19202955,9692
7793,8335,60730849,69472225,64954655,16128
5386,492,29008996,242064,2649912,5878
6649,1421,44209201,2019241,9448229,8070
2362,27,5579044,729,63774,2389
8690,59,75516100,3481,512710,8749
7763,3926,60264169,15413476,30477538,11689
540,3426,291600,11737476,1850040,3966
9172,5736,84125584,32901696,52610592,14908
5211,5368,27154521,28815424,27972648,10579
2567,6429,6589489,41332041,16503243,8996
5782,1530,33431524,2340900,8846460,7312
2862,5123,8191044,26245129,14662026,7985
4067,3135,16540489,9828225,12750045,7202
3929,9802,15437041,96079204,38512058,13731
4022,3058,16176484,9351364,12299276,7080
3069,8167,9418761,66699889,25064523,11236
1393,8456,1940449,71503936,11779208,9849
5011,8042,25110121,64673764,40298462,13053
6229,7373,38800441,54361129,45926417,13602
4421,4919,19545241,24196561,21746899,9340
3784,8537,14318656,72880369,32304008,12321
5198,4324,27019204,18696976,22476152,9522
8315,4370,69139225,19096900,36336550,12685
6413,3526,41126569,12432676,22612238,9939
6091,8980,37100281,80640400,54697180,15071
9956,1873,99121936,3508129,18647588,11829
6862,9170,47087044,84088900,62924540,16032
6996,7281,48944016,53012961,50937876,14277
2305,925,5313025,855625,2132125,3230
7084,6327,50183056,40030929,44820468,13411
336,6505,112896,42315025,2185680,6841
846,1729,715716,2989441,1462734,2575
1313,5857,1723969,34304449,7690241,7170
6124,3895,37503376,15171025,23852980,10019
9582,545,91814724,297025,5222190,10127
8814,3367,77686596,11336689,29676738,12181
5434,364,29528356,132496,1977976,5798
4043,3750,16345849,14062500,15161250,7793
1087,6808,1181569,46348864,7400296,7895
7276,7178,52940176,51523684,52227128,14454
5788,3584,33500944,12845056,20744192,9372
5403,2651,29192409,7027801,14323353,8054
2754,2399,7584516,5755201,6606846,5153
9932,5060,98644624,25603600,50255920,14992
9676,3368,93624976,11343424,32588768,13044
7739,12,59892121,144,92868,7751
6226,8586,38763076,73719396,53456436,14812
8094,7539,65512836,56836521,61020666,15633
795,570,632025,324900,453150,1365
1434,378,2056356,142884,542052,1812
7467,6601,55756089,43573201,49289667,14068
97,2902,9409,8421604,281494,2999
3317,492,11002489,242064,1631964,3809
6652,756,44249104,571536,5028912,7408
7301,280,53304601,78400,2044280,7581
4286,9441,18369796,89132481,40464126,13727
3865,9689,14938225,93876721,37447985,13554
8444,6619,71301136,43811161,55890836,15063
8440,4729,71233600,22363441,39912760,13169
8031,8117,64496961,65885689,65187627,16148
8097,5771,65561409,33304441,46727787,13868
4481,675,20079361,455625,3024675,5156
709,8927,502681,79691329,6329243,9636
4567,7856,20857489,61716736,35878352,12423
9497,2353,90193009,5536609,22346441,11850
4586,6965,21031396,48511225,31941490,11551
5306,4683,28153636,21930489,24847998,9989
6219,8624,38675961,74373376,53632656,14843
1528,2871,2334784,8242641,4386888,4399
5732,8829,32855824,77951241,50607828,14561
9503,19,90307009,361,180557,9522
8270,3368,68392900,11343424,27853360,11638
9708,6715,94245264,45091225,65189220,16423
6340,8149,40195600,66406201,51664660,14489
7796,723,60777616,522729,5636508,8519
2618,2245,6853924,5040025,5877410,4863
2846,3451,8099716,11909401,9821546,6297
2921,3555,8532241,12638025,10384155,6476
2379,7488,5659641,56070144,17813952,9867
7764,8228,60279696,67699984,63882192,15992
9841,2350,96845281,5522500,23126350,12191
5193,1500,26967249,2250000,7789500,6693
7034,7764,49477156,60279696,54611976,14798
124,4914,15376,24147396,609336,5038
6987,5856,48818169,34292736,40915872,12843
3743,6491,14010049,42133081,24295813,10234
2227,8365,4959529,69973225,18628855,10592
9859,1936,97199881,3748096,19087024,11795
1432,2551,2050624,6507601,3653032,3983
6437,9228,41434969,85155984,59400636,15665
3275,5407,10725625,29235649,17707925,8682
1474,6121,2172676,37466641,9022354,7595
8858,4395,78464164,19316025,38930910,13253
6029,1237,36348841,1530169,7457873,7266
8235,3793,67815225,14386849,31235355,12028
5818,4428,33849124,19607184,25762104,10246
6143,1011,37736449,1022121,6210573,7154
5928,9529,35141184,90801841,56487912,15457
